HPC_index,Framework,metal_smiles,organ_smiles,topo,LCD,PLD,VF,GSA,VSA,C2H4_10kPa,C2H6_10kPa,C2H4_100kPa,C2H6_100kPa,WC_C2H4,WC_C2H6,S1
1,hMOF-1000000,[V],"['O=C([O-])c1ccc(C(=O)[O-])cc1', 'O=C([O-])c1ccc(C(=O)[O-])c(F)c1']",rna,7.41046,6.89364,0.59186,1460.519908,1560.486025,11.54150524,0.75494812,66.26710632,7.098639121,54.72560108,6.343691001,1.60682415
2,hMOF-1000001,[V],"['O=C([O-])c1ccc(C(=O)[O-])c(F)c1F', 'O=C([O-])c1ccc(C(=O)[O-])c(F)c1']",rna,5.1924,4.12808,0.49794,1444.064755,1658.531335,6.124057792,0.246168725,50.29460501,4.875660845,44.17054722,4.62949212,1.454130372
3,hMOF-1000002,[V],['O=C([O-])c1[c]cc(C(=O)[O-])c[c]1'],rna,7.4103,6.76342,0.650745,1117.4784,1491.869368,33.50555646,4.244732524,91.83208477,10.15872323,58.32652831,5.913990706,1.659342144
4,hMOF-1000003,[V],"['O=C([O-])c1ccc(C(=O)[O-])c(Cl)c1', 'O=C([O-])c1[c]cc(C(=O)[O-])c(Cl)[c]1']",rna,7.16304,6.76343,0.639119,1115.800084,1489.628763,29.33700359,3.725589962,73.86422026,8.457810014,44.52721667,4.732220052,1.717572456
5,hMOF-1000004,[V],"['O=C([O-])c1ccc(C(=O)[O-])cc1', 'Cc1cc(C(=O)[O-])ccc1C(=O)[O-]']",rna,7.85581,6.27113,0.585737,1453.735701,1540.413563,13.70461391,1.033218742,69.74085935,7.437697324,56.03624544,6.404478582,1.599714441
6,hMOF-1000005,[V],"['Cc1cc(C(=O)[O-])c(C)c(C)c1C(=O)[O-]', 'Cc1c(C(=O)[O-])ccc(C(=O)[O-])c1C']",rna,5.28535,3.90183,0.433842,576.712492,683.106073,12.00317968,0.631389208,55.89253791,4.537755342,43.88935823,3.906366134,1.217807111
7,hMOF-1000006,[V],"['Cc1cc(C(=O)[O-])ccc1C(=O)[O-]', 'Cc1cc(C(=O)[O-])c(C)cc1C(=O)[O-]']",rna,7.45668,6.81349,0.595924,1271.287728,1426.455194,25.84861506,2.840874217,82.70209577,9.537930633,56.85348071,6.697056416,1.729931487
8,hMOF-1000007,[V],"['CCc1c(C(=O)[O-])ccc(C(=O)[O-])c1CC', 'CCc1cc(C(=O)[O-])ccc1C(=O)[O-]']",rna,5.3756,3.57358,0.389278,415.317795,504.901156,10.9954561,0.597340037,37.93451159,2.956439972,26.93905549,2.359099935,1.169030461
9,hMOF-1000010,[V],"['Nc1cc(C(=O)[O-])ccc1C(=O)[O-]', 'O=C([O-])c1ccc(C(=O)[O-])cc1']",rna,7.28457,6.87509,0.589271,1443.347639,1532.579761,13.03251969,0.917160025,69.59024278,7.496806152,56.55772309,6.579646127,1.615917516
10,hMOF-1000014,[V],"['O=C([O-])c1cc(O)c(C(=O)[O-])cc1O', 'O=C([O-])c1cc(O)c(C(=O)[O-])c(O)c1O']",rna,7.19156,6.72145,0.614864,1237.810287,1493.341603,23.24613568,2.522154901,76.34536067,8.822058084,53.09922499,6.299903183,1.733319092
11,hMOF-1000015,[V],['N#Cc1cc(C(=O)[O-])ccc1C(=O)[O-]'],rna,7.41046,6.89364,0.611294,1329.106593,1514.81406,20.16388147,1.884007929,79.63571556,9.21348809,59.47183409,7.329480161,1.7354314
12,hMOF-1000016,[V],"['N#Cc1cc(C(=O)[O-])ccc1C(=O)[O-]', 'N#Cc1c(C(=O)[O-])ccc(C(=O)[O-])c1C#N']",rna,7.27854,6.83169,0.619292,1244.476118,1487.623066,24.77021325,2.792551083,78.33156788,9.046928939,53.56135463,6.254377856,1.732429693
13,hMOF-1000017,[V],"['N#Cc1cc(C(=O)[O-])ccc1C(=O)[O-]', 'N#Cc1cc(C(=O)[O-])c(C#N)cc1C(=O)[O-]']",rna,5.05349,3.92797,0.481573,1074.554917,1284.4986,9.041191297,0.383089047,53.67946893,5.172803302,44.63827763,4.789714255,1.445469769
14,hMOF-1000018,[V],"['O=C([O-])c1ccc(C(=O)[O-])cc1', 'N#Cc1c(C(=O)[O-])ccc(C(=O)[O-])c1C#N']",rna,7.27854,6.83169,0.609735,1335.374473,1521.957711,19.32430228,1.83774962,74.27965985,8.230331858,54.95535757,6.392582238,1.662029392
15,hMOF-1000019,[V],"['COc1cc(C(=O)[O-])c(OC)cc1C(=O)[O-]', 'COc1cc(C(=O)[O-])ccc1C(=O)[O-]']",rna,7.17165,5.30798,0.50879,1051.471178,1292.12461,21.94503359,2.528088345,60.77576699,7.197579088,38.8307334,4.669490743,1.776426554
16,hMOF-1000022,[V],"['O=C([O-])c1cc(F)c(C(=O)[O-])cc1F', 'O=C([O-])c1ccc(-c2c(F)c(F)c(C(=O)[O-])c(F)c2F)cc1F']",rna,7.44468,6.96964,0.608772,1654.704526,1735.215751,5.163282933,0.173384385,53.41110908,4.954110773,48.24782615,4.780726388,1.391314707
17,hMOF-1000023,[V],"['O=C([O-])c1ccc(-c2cc(F)c(C(=O)[O-])c(F)c2F)c(F)c1', 'O=C([O-])c1ccc(C(=O)[O-])c(F)c1']",rna,7.43251,6.99489,0.667701,1693.664959,1679.855255,9.500382661,0.489362517,76.03153248,8.089534839,66.53114982,7.600172322,1.595956554
18,hMOF-1000024,[V],"['O=C([O-])c1[c][c]c(-c2[c][c]c(C(=O)[O-])[c][c]2)[c][c]1', 'O=C([O-])c1ccc(C(=O)[O-])c(Cl)c1']",rna,7.40436,6.86294,0.787618,1212.567469,1623.995767,48.53446106,6.913030863,101.4457124,12.53652628,52.91125134,5.623495417,1.85368006
19,hMOF-1000025,[V],"['O=C([O-])c1cc(Br)c(C(=O)[O-])c(Br)c1Br', 'O=C([O-])c1[c][c]c(-c2ccc(C(=O)[O-])c(Br)c2)c[c]1']",rna,7.17394,6.65329,0.623924,932.067664,1604.857426,11.77053395,0.914836516,53.30883925,5.529913537,41.5383053,4.615077021,1.556002798
20,hMOF-1000026,[V],"['O=C([O-])c1[c]cc(-c2[c]cc(C(=O)[O-])c(Br)c2)c[c]1', 'O=C([O-])c1ccc(C(=O)[O-])c(Br)c1']",rna,7.41289,7.02719,0.716441,1111.617906,1637.060476,19.66813799,2.057257845,74.21523505,8.693042129,54.54709706,6.635784284,1.756992777
21,hMOF-1000027,[V],"['Nc1cc(C(=O)[O-])c(N)c(N)c1C(=O)[O-]', 'Nc1cc(-c2ccc(C(=O)[O-])cc2)ccc1C(=O)[O-]']",rna,7.40332,5.82856,0.543627,1653.16427,1561.648769,4.045733842,0.093974294,46.57714113,3.526455622,42.53140729,3.432481328,1.135682291
22,hMOF-1000029,[V],"['O=C([O-])c1ccc(C(=O)[O-])c(O)c1O', 'O=C([O-])c1ccc(-c2[c]cc(C(=O)[O-])c(O)c2)[c]c1O']",rna,7.43203,7.06066,0.684312,1639.242607,1641.520714,16.09931823,1.188369789,95.22449825,11.03733415,79.12518002,9.848964361,1.73862835
23,hMOF-1000036,[V],"['O=C([O-])c1c[c]c(-c2[c]c(F)c(C(=O)[O-])c(F)c2)cc1F', 'O=C([O-])c1ccc(-c2cc(F)c(C(=O)[O-])cc2F)cc1F']",rna,11.50187,11.12459,0.728087,1882.314712,1598.9126,5.429890843,0.16646529,63.88766019,5.776123866,58.45776935,5.609658576,1.356159511
24,hMOF-1000037,[V],"['O=C([O-])c1[c]cc(-c2c[c]c(C(=O)[O-])[c]c2)c[c]1', 'O=C([O-])c1c[c]c(-c2ccc(C(=O)[O-])cc2)[c]c1']",rna,11.48154,11.02259,0.769155,1727.47071,1588.814146,13.08022269,0.715388667,99.13845049,10.76470111,86.0582278,10.04931244,1.628737547
25,hMOF-1000038,[V],"['O=C([O-])c1ccc(-c2ccc(C(=O)[O-])c(Cl)c2Cl)cc1Cl', 'O=C([O-])c1c[c]c(-c2[c]cc(C(=O)[O-])c(Cl)[c]2)cc1']",rna,11.39311,11.00775,0.775773,1649.806673,1581.04765,15.76977435,1.046126959,100.9641889,11.60500012,85.19441455,10.55887316,1.724126185
26,hMOF-1000039,[V],"['O=C([O-])c1c[c]c(-c2[c]cc(C(=O)[O-])c(Br)[c]2)cc1', 'O=C([O-])c1[c][c]c(-c2[c]cc(C(=O)[O-])cc2)c(Br)[c]1']",rna,11.23471,10.84064,0.838316,1066.431102,1582.242144,25.07454356,2.762789455,88.12022691,11.15809837,63.04568335,8.395308915,1.899353661
27,hMOF-1000040,[V],"['O=C([O-])c1ccc(-c2cc(Br)c(C(=O)[O-])cc2Br)cc1Br', 'O=C([O-])c1c[c]c(-c2ccc(C(=O)[O-])c(Br)c2)[c]c1Br']",rna,11.29176,10.86005,0.778175,1198.352506,1566.135246,13.51952585,0.934797275,77.50111257,9.053285544,63.98158672,8.118488269,1.75222366
28,hMOF-1000041,[V],"['O=C([O-])c1ccc(-c2ccc(C(=O)[O-])cc2Br)cc1', 'O=C([O-])c1c[c]c(-c2[c]cc(C(=O)[O-])c(Br)c2)cc1']",rna,8.26351,7.29962,0.704561,2022.912532,2107.343231,5.79504831,0.162626528,61.41015722,5.279825776,55.61510891,5.117199248,1.289646375
29,hMOF-1000042,[V],"['O=C([O-])c1c[c]c(-c2ccc(C(=O)[O-])cc2)cc1', 'O=C([O-])c1[c][c]c(-c2[c]c(Br)c(C(=O)[O-])cc2)c(Br)c1']",rna,11.23472,10.86005,0.786858,1309.210975,1595.300576,13.93354229,0.976586967,83.71208169,9.672042615,69.7785394,8.695455648,1.733090807
